Mail,Klasse,Start,Ende,Punkte,nFragen
kjadf@nksa.ch,G1A,2023-08-18T14:50:55.646Z,2023-08-18T14:51:05.348Z,0,4
kjadf@nksa.ch,G1A,2023-08-18T14:50:55.646Z,2023-08-18T14:51:05.356Z,0,4
kjadf@nksa.ch,G1A,2023-08-18T14:50:55.646Z,2023-08-18T14:51:05.389Z,0,4
kjadf@nksa.ch,G1A,2023-08-18T14:53:04.910Z,2023-08-18T14:53:10.663Z,0,4
kjadf@nksa.ch,G1A,2023-08-18T14:53:04.910Z,2023-08-18T14:53:10.687Z,0,4
kjadf@nksa.ch,G1A,2023-08-18T14:53:04.910Z,2023-08-18T14:53:10.709Z,0,4
kjadf@nksa.ch,G1A,2023-08-18T14:55:17.341Z,2023-08-18T14:55:21.615Z,0,4
kjadf@nksa.ch,G1A,2023-08-18T14:55:17.341Z,2023-08-18T14:55:21.627Z,0,4
kjadf@nksa.ch,G1A,2023-08-18T14:55:17.341Z,2023-08-18T14:55:21.652Z,0,4
kjadf@nksa.ch,G1A,2023-08-18T14:57:55.667Z,2023-08-18T14:58:00.132Z,0,4
kjadf@nksa.ch,G1A,2023-08-18T14:57:55.667Z,2023-08-18T14:58:14.929Z,0,4
kjadf@nksa.ch,G1A,2023-08-18T15:08:08.014Z,2023-08-18T15:08:13.038Z,0,4
